Treatment Plant,Date,Virus,Normalised Viral Load (gc/person/day),7-day Median Viral Load (gc/person/day),Rt estimate,Estimate lower bound,Estimate upper bound
Switzerland,2024-02-28,RSV-N,5000463.58863679,4558789.17054637,0.837890794864881,0.731877581566576,0.940727032655344
Switzerland,2024-02-29,RSV-N,3475006.36361888,4558789.17054637,0.836608707935046,0.729407913790727,0.940462275253695
Switzerland,2024-03-01,RSV-N,5309330.43374739,4467672.1668582,0.835439055088592,0.727612804497824,0.941109784502958
Switzerland,2024-03-02,RSV-N,3536733.2178701,3657653.43317511,0.834367578037566,0.724168528066495,0.941679498846043
Switzerland,2024-03-03,RSV-N,3657653.43317511,3632059.88357648,0.833380003768552,0.721407263098864,0.941874941571817
Switzerland,2024-03-04,RSV-N,4467672.1668582,3632059.88357648,0.832465365462592,0.72029137283427,0.942745532513362
Switzerland,2024-03-05,RSV-N,3632059.88357648,3536733.2178701,0.831613372592471,0.718077971156368,0.942522910018002
Switzerland,2024-03-06,RSV-N,2719979.05151529,3632059.88357648,0.830812414857464,0.716669465603997,0.942477251542418
Switzerland,2024-03-07,RSV-N,3153317.48345392,3413512.44170509,0.830045904560989,0.715869738857992,0.940910465687028
Switzerland,2024-03-08,RSV-N,2330803.48036176,3265507.73479042,0.829296069882707,0.716025676156856,0.940623813914988
Switzerland,2024-03-09,RSV-N,3819818.65653217,3265507.73479042,0.828546951112742,0.715948563600108,0.941783387319476
Switzerland,2024-03-10,RSV-N,3413512.44170509,3265507.73479042,0.827790464868048,0.715615616310408,0.940963724513782
Switzerland,2024-03-11,RSV-N,3265507.73479042,3265507.73479042,0.827020502460082,0.714616192115297,0.939805775857454
Switzerland,2024-03-12,RSV-N,7422834.10518136,3413512.44170509,0.826234738290512,0.713938300537156,0.937414534221578
Switzerland,2024-03-13,RSV-N,2208701.65311277,3413512.44170509,0.825447088218448,0.713256377474996,0.936908900074301
Switzerland,2024-03-14,RSV-N,3258738.59973168,3951807.89402563,0.824675064760348,0.712032338406054,0.93646825461383
Switzerland,2024-03-15,RSV-N,5199366.1360384,3951807.89402563,0.823936189595207,0.711465926920732,0.934857053749569
Switzerland,2024-03-16,RSV-N,4723277.89910475,3779567.8997454,0.823247448518366,0.710138667854778,0.935374994400913
Switzerland,2024-03-17,RSV-N,3951807.89402563,3779567.8997454,0.822625302730632,0.709075475059321,0.936146107485611
Switzerland,2024-03-18,RSV-N,3779567.8997454,3951807.89402563,0.822082220835485,0.708018843816872,0.93717964023332
Switzerland,2024-03-19,RSV-N,2768455.66398261,3779567.8997454,0.821617834302745,0.706085113374701,0.936491336848688
Switzerland,2024-03-20,RSV-N,2196044.94693619,3022018.93761105,0.821228275154592,0.705529503956795,0.936401149917678
Switzerland,2024-03-21,RSV-N,4185053.66376523,3022018.93761105,0.820910543910304,0.705164378888085,0.935429952769573
Switzerland,2024-03-22,RSV-N,1599844.88366772,2768455.66398261,0.820665162092013,0.704815638999152,0.936098101122862
Switzerland,2024-03-23,RSV-N,3022018.93761105,2238607.18529082,0.820493420236957,0.703666044800362,0.935146535644169
Switzerland,2024-03-24,RSV-N,3154915.50186809,2834435.35205893,0.820395243658589,0.702854160944033,0.935095546671535
Switzerland,2024-03-25,RSV-N,2105297.32771189,2834435.35205893,0.82036516082276,0.70342669744361,0.934451199928176
Switzerland,2024-03-26,RSV-N,2238607.18529082,2834435.35205893,0.820396151078179,0.702856082850561,0.935967845586587
Switzerland,2024-03-27,RSV-N,2834435.35205893,2238607.18529082,0.820483485164891,0.702212625675172,0.93530057361526
Switzerland,2024-03-28,RSV-N,3373532.92403929,2105297.32771189,0.820633471336326,0.701173850687587,0.936836397639731
Switzerland,2024-03-29,RSV-N,1154216.09476491,2022002.98968772,0.82085481775493,0.699754098201948,0.939170824370303
Switzerland,2024-03-30,RSV-N,1301243.34246332,1830107.61199191,0.821153806095596,0.699135512789996,0.94057700860575
Switzerland,2024-03-31,RSV-N,2022002.98968772,1546487.66409389,0.821526783622135,0.699547213068571,0.94199094785982
Switzerland,2024-04-01,RSV-N,1374540.79182828,1546487.66409389,0.821967163126715,0.697696001930149,0.943815190516043
Switzerland,2024-04-02,RSV-N,1830107.61199191,1704130.06978214,0.82246930898115,0.698146421525346,0.946551080695546
Switzerland,2024-04-03,RSV-N,1546487.66409389,1704130.06978214,0.82303297214443,0.697916257249466,0.948273402572068
Switzerland,2024-04-04,RSV-N,1704130.06978214,1704130.06978214,0.823658973659217,0.69650787728476,0.950772463216265
Switzerland,2024-04-05,RSV-N,1786536.80264449,1786536.80264449,0.824348476779976,0.696211183988559,0.950859700515701
Switzerland,2024-04-06,RSV-N,1107335.73260624,1784689.68814603,0.825106759037091,0.694813542619187,0.952454299145374
Switzerland,2024-04-07,RSV-N,2143178.32031299,1784689.68814603,0.8259400055834,0.694711790089575,0.954262886294966
Switzerland,2024-04-08,RSV-N,1889119.21697442,1784689.68814603,0.826855034946876,0.692963298516149,0.955341757430098
Switzerland,2024-04-09,RSV-N,1784689.68814603,1784689.68814603,0.827860162136047,0.692199866844086,0.958189395734148
Switzerland,2024-04-10,RSV-N,761704.503796967,1784689.68814603,0.828963831656192,0.6918907156096,0.959399606722088
Switzerland,2024-04-11,RSV-N,1600619.4373908,1600619.4373908,0.830171028504283,0.692656662554679,0.962697700903212
Switzerland,2024-04-12,RSV-N,2154044.59757259,1452743.58119921,0.831471576411151,0.692770759409477,0.964352912330084
Switzerland,2024-04-13,RSV-N,1211600.31838523,1452743.58119921,0.832851245081721,0.693704469766379,0.967827727168851
Switzerland,2024-04-14,RSV-N,1444252.42601154,1600619.4373908,0.834302132168184,0.69395802509274,0.971135766286328
Switzerland,2024-04-15,RSV-N,1452743.58119921,1452743.58119921,0.835844059772779,0.694264815925589,0.97464820267753
Switzerland,2024-04-16,RSV-N,1822275.73701686,1444252.42601154,0.837503337695519,0.693793127127948,0.978392488548935
Switzerland,2024-04-17,RSV-N,1700199.31129758,1452743.58119921,0.839311396343179,0.692506915260969,0.980976450879279
Switzerland,2024-04-18,RSV-N,1269899.6734465,1700199.31129758,0.841323266671872,0.693536490249897,0.984655166822166
Switzerland,2024-04-19,RSV-N,1357072.68613355,1822275.73701686,0.843599533808182,0.69433192044494,0.987478789494817
Switzerland,2024-04-20,RSV-N,2056187.32992031,1700199.31129758,0.846196271479468,0.697999127473264,0.990931481961356
Switzerland,2024-04-21,RSV-N,2215661.97415935,1357072.68613355,0.849148629436035,0.700890661847935,0.993183111782164
